city,city_bis,city_nospace,city_nospace_bis,city_formatted
chamousset,chamousset,chamousset,chamousset,Chamousset
landry,landry,landry,landry,Landry
la bathie,la bathie,labathie,labathie,La-Bathie
lescheraines,lescheraines,lescheraines,lescheraines,Lescheraines
valezan,valezan,valezan,valezan,Valezan
bassens,bassens,bassens,bassens,Bassens
gilly sur isere,gilly sur isere,gillysurisere,gillysurisere,Gilly-Sur-Isere
saint alban leysse,st alban leysse,saintalbanleysse,stalbanleysse,Saint-Alban-Leysse
traize,traize,traize,traize,Traize
gresin,gresin,gresin,gresin,Gresin
champagny en vanoise,champagny en vanoise,champagnyenvanoise,champagnyenvanoise,Champagny-En-Vanoise
tours en savoie,tours en savoie,toursensavoie,toursensavoie,Tours-En-Savoie
chamoux sur gelon,chamoux sur gelon,chamouxsurgelon,chamouxsurgelon,Chamoux-Sur-Gelon
la lechere,la lechere,lalechere,lalechere,La-Lechere
saint jean de belleville,st jean de belleville,saintjeandebelleville,stjeandebelleville,Saint-Jean-De-Belleville
corbel,corbel,corbel,corbel,Corbel
saint andre,st andre,saintandre,standre,Saint-Andre
sainte foy tarentaise,ste foy tarentaise,saintefoytarentaise,stefoytarentaise,Sainte-Foy-Tarentaise
saint francois longchamp,st francois longchamp,saintfrancoislongchamp,stfrancoislongchamp,Saint-Francois-Longchamp
mery,mery,mery,mery,Mery
la trinite,la trinite,latrinite,latrinite,La-Trinite
entremont le vieux,entremont le vieux,entremontlevieux,entremontlevieux,Entremont-Le-Vieux
la croix de la rochette,la croix de la rochette,lacroixdelarochette,lacroixdelarochette,La-Croix-De-La-Rochette
verrens arvey,verrens arvey,verrensarvey,verrensarvey,Verrens-Arvey
motz,motz,motz,motz,Motz
saint pierre d alvey,st pierre d alvey,saintpierredalvey,stpierredalvey,Saint-Pierre-D-Alvey
hauteville,hauteville,hauteville,hauteville,Hauteville
villard d hery,villard d hery,villarddhery,villarddhery,Villard-D-Hery
aiguebelette le lac,aiguebelette le lac,aiguebelettelelac,aiguebelettelelac,Aiguebelette-Le-Lac
la chapelle saint martin,la chapelle saint martin,lachapellesaintmartin,lachapellesaintmartin,La-Chapelle-Saint-Martin
bonneval,bonneval,bonneval,bonneval,Bonneval
